organism,paper_drug,marisma_drug,relationship,ecology_block,prediction,n_rows,n_s,n_i,n_r,n_r_plain,n_r_star,n_esbl,n_other_nonmissing,n_sr,r_prevalence,n_with_min_background_labels,eligible_metadata_only,rationale
Escherichia coli,Ciprofloxacin,Ciprofloxacin,exact,fluoroquinolone,transfer_retained_or_partial,1888,952,77,807,807,0,0,0,1759,0.4587833996588971,1757,True,Fluoroquinolone resistance should retain signal if conserved resistant lineages are shared.
Escherichia coli,Norfloxacin,Norfloxacin,exact,fluoroquinolone,transfer_retained_or_partial,1888,168,0,180,180,0,0,0,348,0.5172413793103449,348,True,Norfloxacin is expected to track the same fluoroquinolone block as ciprofloxacin.
Escherichia coli,Levofloxacin,Levofloxacin,external_extension,fluoroquinolone,transfer_retained_or_partial,1888,1029,1,810,810,0,0,0,1839,0.44045676998368677,1837,True,Levofloxacin provides an additional MARISMa fluoroquinolone validation target.
Escherichia coli,Amoxicillin-Clavulanic acid,Amoxicillin/Clavulanic acid,spelling_alias,beta-lactam/inhibitor,background_sensitive_or_weak,1888,1117,0,731,731,0,0,0,1848,0.39556277056277056,1844,True,Prior DRIAMS audits suggest Amox-Clav is more ecology/background-driven.
Escherichia coli,Ceftriaxone,Cefotaxime,third_generation_cephalosporin_analog,third-generation cephalosporin,background_sensitive_or_mixed,1888,1262,1,619,619,0,0,0,1881,0.32908027644869753,1881,True,MARISMa has E. coli cefotaxime rather than ceftriaxone labels; use as an analogous ESBL/AmpC phenotype.
Escherichia coli,Ceftazidime,Ceftazidime,exact,third-generation cephalosporin,background_sensitive_or_mixed,1888,1262,1,619,619,0,0,0,1881,0.32908027644869753,1881,True,Expected to sit in the same cephalosporin co-resistance block as cefotaxime/cefepime.
Escherichia coli,Cefepime,Cefepime,exact,fourth-generation cephalosporin,background_sensitive_or_mixed,1888,1296,4,584,584,0,0,0,1880,0.31063829787234043,1878,True,Expected to show raw signal but potentially lower background-centered signal.
Escherichia coli,Cotrimoxazole,Trimethoprim/Sulfamethoxazole,name_alias,folate-pathway/MDR block,exploratory,1888,1134,10,711,711,0,0,0,1845,0.3853658536585366,1843,True,Useful exploratory E. coli MDR/background target with strong label coverage.
Staphylococcus aureus,Oxacillin,Oxacillin,exact,MRSA/beta-lactam,transfer_retained_or_partial,2668,1928,0,726,726,0,0,0,2654,0.27354935945742276,1995,True,MRSA-related spectral structure should be externally testable.
Staphylococcus epidermidis,Erythromycin,Erythromycin,exact,macrolide/opportunistic background,background_sensitive_or_weak,669,184,0,458,458,0,0,0,642,0.7133956386292835,615,True,Prior DRIAMS clinical4 results suggest weak generalization for this pair.
